id,material_id,metal_id,qmax_mg_g,qmax_column_mg_g,removal_pct,pH_opt,pH_min,pH_max,C0_mg_L,dose_g_L,t_eq_min,temp_C,kinetics_model,isotherm_model,conditions,data_quality,reference_id,notes
ADS-001,chitosan,Pb2+,815,,98,5.0,4.0,7.0,200,2.0,360,25,pseudo-second-order,Langmuir,batch,high,BABEL2003,가장 널리 인용되는 키토산 Pb 흡착 벤치마크값. 비드 형태.
ADS-002,chitosan,Cr6+,273,,95,3.5,2.0,5.0,200,2.0,480,25,pseudo-second-order,Langmuir,batch,high,BABEL2003,산성 조건에서 –NH₃⁺ 형성으로 Cr(VI) 음이온 정전기 흡착. pH > 6에서 급격히 감소.
ADS-003,chitosan,Cd2+,250,,92,6.0,4.0,8.0,200,2.0,360,25,pseudo-second-order,Langmuir,batch,high,BABEL2003,Pb보다 낮은 흡착용량 (이온반경 차이). 배치 기준.
ADS-004,chitosan,Cu2+,200,,97,5.5,4.0,8.0,100,1.5,240,25,pseudo-second-order,Langmuir,batch,medium,PMC7321104,아미노기와 구리 이온의 강한 킬레이트 결합. pH 6에서 최대.
ADS-005,chitosan,Hg2+,700,,96,6.0,4.0,8.0,150,2.0,480,25,pseudo-second-order,Langmuir,batch,medium,PMC12566221,연질 Lewis acid Hg²⁺와 아미노기의 강한 친화성. 정확한 값은 연구마다 상이 (500–800 mg/g 범위).
ADS-006,chitosan,Zn2+,150,,90,6.0,5.0,8.0,100,2.0,300,25,pseudo-second-order,Langmuir,batch,medium,PMC8398132,Pb·Cu·Cd에 비해 낮은 흡착용량.
ADS-007,chitosan,Ni2+,100,,85,6.5,5.0,8.0,100,2.0,300,25,pseudo-second-order,Freundlich,batch,medium,PMC8398132,Ni²⁺은 경질 Lewis acid; 킬레이트 친화성 상대적으로 낮음.
ADS-008,zeolite_natural,Pb2+,175,,98,5.5,4.0,7.0,100,5.0,120,25,pseudo-second-order,Langmuir,batch,high,PMC10511742,클리놉틸로라이트 기준. 이온교환 선택성 계열에서 Pb²⁺ 1위.
ADS-009,zeolite_natural,Cd2+,137,,92,6.0,4.0,8.0,100,5.0,180,25,pseudo-second-order,Langmuir,batch,high,PMC10511742,Babel et al. 인용 기준.
ADS-010,zeolite_natural,Cu2+,70,,88,5.5,4.0,7.0,100,5.0,180,25,pseudo-second-order,Langmuir,batch,medium,PMC8398132,이온반경과 수화에너지 차이로 Pb·Cd보다 낮음.
ADS-011,zeolite_natural,Zn2+,85,,87,6.0,4.0,7.0,100,5.0,180,25,pseudo-second-order,Langmuir,batch,medium,PMC4148316,광산 배수 적용 리뷰 값.
ADS-012,zeolite_natural,Ni2+,55,,80,6.5,5.0,7.5,100,5.0,240,25,pseudo-second-order,Freundlich,batch,medium,PMC8398132,경질 Lewis acid; 이온교환 친화성 낮음.
ADS-013,zeolite_natural,Cr3+,60,,82,5.0,3.5,6.5,100,5.0,240,25,pseudo-second-order,Langmuir,batch,low,PMC8398132,Cr³⁺만 가능; Cr(VI) 음이온은 제올라이트로 제거 불가.
ADS-014,zeolite_4a,Pb2+,416.6,,99,6.0,4.0,8.0,200,3.0,60,25,pseudo-second-order,Langmuir,batch,high,LIU2022,카올린→4A 제올라이트 전환(homologous transformation). 초고속 반응 (초기 속도상수 409.84).
ADS-015,zeolite_4a,Pb2+,400.2,,99,6.0,4.0,8.0,200,3.0,60,25,pseudo-second-order,Langmuir,batch,high,LIU2022,Na-P1 타입 제올라이트 기준 (4A와 동일 논문). 초기 속도상수 617.28.
ADS-016,activated_carbon,Pb2+,100,,95,6.0,4.0,8.0,100,2.0,180,25,pseudo-second-order,Langmuir,batch,medium,PMC8398132,GAC(야자각 기반) 기준. 표면 카르복실기와 착화.
ADS-017,activated_carbon,Hg2+,150,,96,6.5,5.0,8.0,50,2.0,240,25,pseudo-second-order,Freundlich,batch,medium,PMC8398132,황 함침(S-impregnated) AC에서는 300+ mg/g 가능.
ADS-018,activated_carbon,Cr6+,100,,92,3.0,2.0,5.0,100,3.0,360,25,pseudo-second-order,Langmuir,batch,medium,PMC8398132,환원 + 흡착 복합 메커니즘. pH 낮을수록 효율 증가.
ADS-019,activated_carbon,Cu2+,65,,88,5.5,4.0,7.0,100,2.0,180,25,pseudo-second-order,Freundlich,batch,medium,Bailey2014,물리흡착 우세.
ADS-020,activated_carbon,As5+,20,,70,5.0,3.0,7.0,10,5.0,360,25,pseudo-second-order,Freundlich,batch,low,PMC8398132,As 음이온은 활성탄에서 제거 효율 낮음; 철산화물 층 선행 권장.
ADS-021,biochar_pine,Cu2+,60.86,,92,6.0,5.0,8.0,150,3.0,300,25,pseudo-second-order,Langmuir,batch,high,ACSOMEGA2024,"바이오차-슬러지 복합체(TBS, 1:4 질량비). SEM·FTIR 특성분석 포함."
ADS-022,biochar_pine,Pb2+,46.98,,88,6.0,5.0,8.0,150,3.0,300,25,pseudo-second-order,Langmuir,batch,high,ACSOMEGA2024,TBS 복합 바이오차 기준.
ADS-023,biochar_pine,As5+,,3.49,85,6.5,5.0,8.0,10,,,25,,,column,high,PMC10890072,활성화 바이오차(active BC) 컬럼 기준. 미활성화 BC는 0.04 mg/g으로 매우 낮음.
ADS-024,biochar_pine,Cd2+,38.0,,80,6.0,5.0,8.0,100,3.0,300,25,pseudo-second-order,Freundlich,batch,medium,PMC10511742,아보카도·쓴오렌지·호두나무잎 바이오차 평균값 기준.
ADS-025,biochar_pine,Zn2+,40.0,,78,6.0,5.0,7.5,100,3.0,240,25,pseudo-second-order,Freundlich,batch,medium,PMC10890072,리뷰 기반 추정값.
ADS-026,biochar_modified,Pb2+,,5.8,94,5.0,4.0,7.0,150,,,25,,,column,high,PMC10890072,소나무 바이오차 + 키토산 변성(CMBC). 컬럼 조건 C₀=150 mg/L.
